"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 27 03:02:29 GMT 2022","Thu Oct 27 03:02:43 GMT 2022","13581","","Funcionalidade Endereços - Faturamento e Entrega","","","","Deve fazer cadastro de faturamento com sucesso",""
"passed","Thu Oct 27 03:02:50 GMT 2022","Thu Oct 27 03:03:04 GMT 2022","14300","","Funcionalidade Login","","","","Deve fazer login com sucessso - Usando arquivo de dados",""
"passed","Thu Oct 27 03:03:23 GMT 2022","Thu Oct 27 03:03:28 GMT 2022","4857","","Funcionalidade Login","","","","Deve exibir uma mensagem de erro ao insserir senha inválida",""
"passed","Thu Oct 27 03:03:17 GMT 2022","Thu Oct 27 03:03:22 GMT 2022","4760","","Funcionalidade Login","","","","Deve exibir uma mensagem de erro ao insserir um usuário inválido",""
"passed","Thu Oct 27 03:03:11 GMT 2022","Thu Oct 27 03:03:16 GMT 2022","5430","","Funcionalidade Login","","","","Deve fazer login com sucessso - Usando fixture",""
"passed","Thu Oct 27 03:03:45 GMT 2022","Thu Oct 27 03:04:07 GMT 2022","21986","","Funcionalidade Pré Cadasstro","","","","Deve completar o pré-cadastro com sucesso usando Comandos customizados",""
"passed","Thu Oct 27 03:03:05 GMT 2022","Thu Oct 27 03:03:10 GMT 2022","5311","","Funcionalidade Login","","","","Deve fazer login com sucessso - Usando cypress.env.json",""
"skipped","Thu Oct 27 03:04:22 GMT 2022","Thu Oct 27 03:04:22 GMT 2022","5","","Funcionalidade Página de produtos","","","","Deve selecionar um produto da lista e adiciona-lo no carrinho",""
